type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,806339.11418722,388785.721306266,14.640679962463,0.172,0.19,15/10/2023 10:37:54 p.m.,638330062740000000
Device,388785.542996945,806339.284216995,14.4970421140305,0,0,15/10/2023 10:37:53 p.m.,638330062739123960
Device,388785.400621412,806339.380510875,14.5858205066728,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062740440090
Device,388785.044996314,806339.643767944,14.4732164550662,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062740635850
Device,388785.028779633,806339.643650332,14.481406781131,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062740991700
Device,388785.012991466,806339.641587299,14.4882882257566,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062741175830
Device,388785.223354049,806339.512969756,14.5010229199213,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062741485730
Device,388785.212127721,806339.505735482,14.5041344147883,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062742043460
Device,388785.201447751,806339.497983602,14.5067076615462,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062742213970
Device,388785.200679968,806339.592220519,14.5183888704012,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062742481280
Device,388785.189586977,806339.591015089,14.5217625068852,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062742799180
Device,388785.178265756,806339.590116073,14.5249685634098,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062743209610
Device,388785.251938865,806339.553931495,14.5248799860644,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062743559850
Device,388785.24242861,806339.554646443,14.5278824041156,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062743926250
Device,388785.2340111,806339.555337172,14.5323676703733,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062744189460
Device,388785.249823731,806339.612208654,14.5005010406805,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062744490540
Device,388785.247354695,806339.615766138,14.5054198255739,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062744771200
Device,388785.246071792,806339.619768468,14.5094440363209,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062745249790
Device,388785.180566709,806339.576900196,14.5420845422746,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062745556240
Device,388785.179192339,806339.580608993,14.5424146611363,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062745802870
Device,388785.179820245,806339.584579416,14.5420609472461,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062746135480
Device,388785.053667173,806339.38949974,14.5587222342337,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062746484070
Device,388785.05297879,806339.393318635,14.5583348976911,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062746843820
Device,388785.055358021,806339.398649929,14.5587617207031,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062747199380
Device,388784.968022078,806339.32593598,14.4812481799512,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062747531870
Device,388784.973251588,806339.329866324,14.4812489511017,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062747874370
Device,388784.979459743,806339.33441764,14.4807254525896,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062748425740
Device,388784.927864104,806339.268864054,14.5266058381915,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062748515540
Device,388784.930629941,806339.268339651,14.5235873325553,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062748784950
Device,388784.932189435,806339.26722261,14.5185879348838,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062749133860
Device,388784.834470354,806339.280976747,14.5906826953495,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062749419450
Device,388784.83258467,806339.277430232,14.5826097656092,0.0763710918846917,0.0667409334207951,15/10/2023 10:37:54 p.m.,638330062749807110
