type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388885.501290915,804998.6365286,18.1674050421542,0.008,0.013,28/09/2023 11:20:45 p.m.,638315400450000000
World,388884.177934661,804998.790907709,18.17420604439,0.008,0.012,28/09/2023 11:20:46 p.m.,638315400460000000
World,388882.867632759,804998.93316697,18.171426634902,0.008,0.013,28/09/2023 11:20:47 p.m.,638315400470000000
World,388881.560324361,804999.062283787,18.1762976890954,0.007,0.011,28/09/2023 11:20:48 p.m.,638315400480000000
World,388880.307148255,804999.208491987,18.173654863301,0.008,0.013,28/09/2023 11:20:49 p.m.,638315400490000000
World,388878.987626841,804999.36614349,18.2309226140678,0.007,0.011,28/09/2023 11:20:50 p.m.,638315400500000000
World,388877.667219096,804999.585269975,18.2460377673399,0.008,0.013,28/09/2023 11:20:51 p.m.,638315400510000000
World,388876.23566286,804999.870757476,18.2352195547667,0.009,0.013,28/09/2023 11:20:52 p.m.,638315400520000000
World,388874.85060048,805000.142016081,18.2260429381203,0.008,0.012,28/09/2023 11:20:53 p.m.,638315400530000000
World,388873.451470455,805000.347917006,18.2141726787692,0.007,0.011,28/09/2023 11:20:54 p.m.,638315400540000000
World,388872.033508478,805000.579568575,18.2298633206863,0.008,0.012,28/09/2023 11:20:55 p.m.,638315400550000000
World,388870.631583322,805000.786657991,18.2642462997636,0.007,0.011,28/09/2023 11:20:56 p.m.,638315400560000000
World,388869.291279404,805001.040883025,18.2858431186121,0.008,0.012,28/09/2023 11:20:57 p.m.,638315400570000000
World,388868.007422994,805001.387921178,18.292352179507,0.007,0.011,28/09/2023 11:20:58 p.m.,638315400580000000
World,388866.676066995,805001.676247467,18.3053952443248,0.008,0.013,28/09/2023 11:20:59 p.m.,638315400590000000
World,388865.358585279,805001.925246185,18.322615714095,0.007,0.011,28/09/2023 11:21:00 p.m.,638315400600000000
World,388864.028693122,805002.06027425,18.3219916719325,0.008,0.013,28/09/2023 11:21:01 p.m.,638315400610000000
World,388862.640441148,805002.152397225,18.3284390077428,0.007,0.012,28/09/2023 11:21:02 p.m.,638315400620000000
World,388861.276222985,805002.16136244,18.3369134374513,0.008,0.013,28/09/2023 11:21:03 p.m.,638315400630000000
World,388859.950391926,805002.132478361,18.360077251782,0.007,0.012,28/09/2023 11:21:04 p.m.,638315400640000000
World,388858.673026036,805002.150557958,18.3305249867787,0.008,0.013,28/09/2023 11:21:05 p.m.,638315400650000000
World,388857.502546941,805002.267663501,18.2846402277621,0.008,0.012,28/09/2023 11:21:06 p.m.,638315400660000000
World,388856.54553723,805002.326679211,18.2343115429636,0.008,0.013,28/09/2023 11:21:07 p.m.,638315400670000000
World,388856.135236678,805002.308090196,18.0983321274753,0.009,0.014,28/09/2023 11:21:08 p.m.,638315400680000000
World,388856.069202793,805002.304405743,18.0665565244222,0.009,0.014,28/09/2023 11:21:09 p.m.,638315400690000000
World,388856.056491454,805002.284461766,18.0529984022909,0.008,0.014,28/09/2023 11:21:10 p.m.,638315400700000000
World,388856.067128786,805002.300809792,18.0607447048006,0.01,0.015,28/09/2023 11:21:11 p.m.,638315400710000000
World,388856.081016417,805002.333360505,18.067533278068,0.009,0.014,28/09/2023 11:21:12 p.m.,638315400720000000
World,388856.078422337,805002.336041396,18.0760193345549,0.009,0.015,28/09/2023 11:21:13 p.m.,638315400730000000
World,388856.073510904,805002.341365282,18.0735006337813,0.009,0.015,28/09/2023 11:21:14 p.m.,638315400740000000
World,388856.091642718,805002.326818364,18.0697763494764,0.008,0.013,28/09/2023 11:21:15 p.m.,638315400750000000
World,388856.093815675,805002.329118662,18.0692896499761,0.008,0.014,28/09/2023 11:21:16 p.m.,638315400760000000
World,388856.093520731,805002.333862055,18.0745710059986,0.009,0.014,28/09/2023 11:21:17 p.m.,638315400770000000
World,388856.094071551,805002.338588247,18.0770748857453,0.008,0.014,28/09/2023 11:21:18 p.m.,638315400780000000
World,388856.099898968,805002.339003138,18.0796785088078,0.009,0.015,28/09/2023 11:21:19 p.m.,638315400790000000
World,388855.969393102,805002.36646485,18.1050249308045,0.008,0.013,28/09/2023 11:21:20 p.m.,638315400800000000
World,388855.169207137,805002.748696528,18.1578800380172,0.009,0.014,28/09/2023 11:21:21 p.m.,638315400810000000
World,388854.539073318,805003.690509157,18.1856144026851,0.01,0.016,28/09/2023 11:21:22 p.m.,638315400820000000
World,388854.514116666,805004.974716022,18.2598672123836,0.009,0.015,28/09/2023 11:21:23 p.m.,638315400830000000
World,388854.93038934,805006.383031928,18.2451801735429,0.01,0.016,28/09/2023 11:21:24 p.m.,638315400840000000
World,388855.570319852,805007.708253708,18.2569145488539,0.011,0.018,28/09/2023 11:21:25 p.m.,638315400850000000
World,388856.184107534,805008.939755538,18.2883913147501,0.011,0.019,28/09/2023 11:21:26 p.m.,638315400860000000
World,388856.69341357,805010.165572732,18.3345365191098,0.012,0.021,28/09/2023 11:21:27 p.m.,638315400870000000
World,388857.107599524,805011.405760001,18.374339134793,0.012,0.022,28/09/2023 11:21:28 p.m.,638315400880000000
World,388857.500631245,805012.615908299,18.4134923656681,0.013,0.023,28/09/2023 11:21:29 p.m.,638315400890000000
World,388857.916831884,805013.849859816,18.4441186041563,0.013,0.023,28/09/2023 11:21:30 p.m.,638315400900000000
World,388858.365813932,805015.078041732,18.47384317528,0.014,0.024,28/09/2023 11:21:31 p.m.,638315400910000000
World,388858.76920941,805016.306811744,18.4782839475903,0.013,0.023,28/09/2023 11:21:32 p.m.,638315400920000000
World,388859.089673996,805017.523912511,18.4470776406021,0.013,0.023,28/09/2023 11:21:33 p.m.,638315400930000000
World,388859.387061951,805018.754178927,18.4454400716929,0.014,0.023,28/09/2023 11:21:34 p.m.,638315400940000000
World,388859.582577985,805019.935323146,18.4229260003921,0.014,0.024,28/09/2023 11:21:35 p.m.,638315400950000000
World,388859.695560839,805021.090726776,18.4473572449793,0.015,0.026,28/09/2023 11:21:36 p.m.,638315400960000000
World,388859.687034624,805022.044638279,18.4360799105518,0.016,0.026,28/09/2023 11:21:37 p.m.,638315400970000000
World,388859.590629934,805022.856899599,18.5221044403613,0.026,0.038,28/09/2023 11:21:38 p.m.,638315400980000000
